review_round,canonical_family,variants,proposed_score,reviewer_count,score_standard_deviation,score_minimum,score_maximum,zero_exclusion_votes,proposed_direction,proposed_rationale,student_decision,student_approved_score,student_expected_direction,student_review_status,student_rationale
researched_expansion,surpass,"surpass, surpasses, surpassed, surpassing",1.91,10,0.191195072,1.6,2.1,0,positive,Results or performance above a benchmark.,approve,1.91,positive,reviewed,
researched_expansion,upside,"upside, upsides",1.76,10,0.16465452,1.5,2,0,positive,Favourable valuation or return potential.,approve,1.76,positive,reviewed,
researched_expansion,blowout,"blowout, blowouts",2.05,10,0.424918293,1.3,2.5,0,positive,Exceptionally strong results or launch.,approve,2.05,positive,reviewed,
researched_expansion,outperforming,outperforming,1.9,10,0.188561808,1.6,2.2,0,positive,Performance above a benchmark.,approve,1.9,positive,reviewed,
researched_expansion,slump,"slump, slumps, slumped, slumping",-1.99,10,0.185292561,-2.3,-1.8,0,negative,Adverse decline or weak activity.,approve,-1.99,negative,reviewed,
researched_expansion,selloff,"selloff, selloffs, sell-off, sell-offs",-2.2,10,0.176383421,-2.5,-2,0,negative,Broad or security-level selling decline.,approve,-2.2,negative,reviewed,
researched_expansion,rout,rout,-2.29,10,0.830595503,-2.8,0,1,negative,Severe market or security decline.,approve,-2.29,negative,reviewed,
researched_expansion,headwind,"headwind, headwinds",-1.41,10,0.128668394,-1.6,-1.2,0,negative,Obstacle to operating or financial performance.,approve,-1.41,negative,reviewed,
researched_expansion,slowdown,"slowdown, slowdowns",-1.54,10,0.117378779,-1.7,-1.4,0,negative,Adverse deceleration in activity or growth.,approve,-1.54,negative,reviewed,
researched_expansion,overvalued,overvalued,-1.65,10,0.126929552,-1.8,-1.5,0,negative,Valuation viewed as too high.,approve,-1.65,negative,reviewed,
researched_expansion,downturn,"downturn, downturns",-1.91,10,0.137032032,-2.2,-1.8,0,negative,"Negative economic, industry, or company cycle.",approve,-1.91,negative,reviewed,
researched_expansion,contraction,"contraction, contractions",-1.54,10,0.171269768,-1.8,-1.3,0,negative,"Reduction in economic activity, revenue, or demand.",approve,-1.54,negative,reviewed,
researched_expansion,antitrust,antitrust,-1.06,10,0.389301369,-1.4,0,1,negative,Competition-law scrutiny or action.,approve,-1.06,negative,reviewed,
researched_expansion,recall,"recall, recalls, recalled, recalling",-1.39,10,0.743041796,-1.9,0,2,negative,Product withdrawal for quality or safety reasons.,approve,-1.39,negative,reviewed,
researched_expansion,breach,"breach, breaches, breached",-2.04,10,0.150554531,-2.3,-1.8,0,negative,"Covenant, data, contract, or rules failure.",approve,-2.04,negative,reviewed,
researched_expansion,outage,"outage, outages",-1.95,10,0.13540064,-2.2,-1.7,0,negative,Operational or service disruption.,approve,-1.95,negative,reviewed,
researched_expansion,fine_penalty,"fined, fines",-1.8,10,0.156347192,-2.1,-1.5,0,negative,Monetary regulatory or legal penalty.,approve,-1.8,negative,reviewed,
researched_expansion,delist,"delist, delisted, delisting",-2.35,10,0.206827894,-2.7,-2,0,negative,Loss or threatened loss of exchange listing.,approve,-2.35,negative,reviewed,
