term,canonical_family,plain_vader_score,finance_vader_score,action,headline_token_occurrences,rationale,score_source,reviewer_count,score_scale,review_status
breaches,breach,,-2.04,add,12,"Covenant, data, contract, or rules failure.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
bullish,bullish,,2.36,add,414,Explicit positive market direction.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
buyback,buyback,,1.3199999999999998,add,91,"Issuer repurchase, commonly framed as shareholder support.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
buybacks,buyback,,1.3199999999999998,add,110,"Issuer repurchase, commonly framed as shareholder support.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
contraction,contraction,,-1.54,add,28,"Reduction in economic activity, revenue, or demand.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
contractions,contraction,,-1.54,add,0,"Reduction in economic activity, revenue, or demand.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
default,default,,-3.18,add,49,Failure to meet a financial obligation.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
defaults,default,,-3.18,add,3,Failure to meet a financial obligation.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
delist,delist,,-2.35,add,3,Loss or threatened loss of exchange listing.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
delisted,delist,,-2.35,add,2,Loss or threatened loss of exchange listing.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
delisting,delist,,-2.35,add,8,Loss or threatened loss of exchange listing.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
downgrade,downgrade,,-2.3,add,30,"Downward analyst, issuer, or credit assessment.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
downgraded,downgrade,,-2.3,add,47,"Downward analyst, issuer, or credit assessment.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
downgrades,downgrade,,-2.3,add,278,"Downward analyst, issuer, or credit assessment.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
downturn,downturn,,-1.9100000000000001,add,91,"Negative economic, industry, or company cycle.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
downturns,downturn,,-1.9100000000000001,add,3,"Negative economic, industry, or company cycle.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
fined,fine_penalty,,-1.8,add,25,Monetary regulatory or legal penalty.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
fines,fine_penalty,,-1.8,add,26,Monetary regulatory or legal penalty.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
headwind,headwind,,-1.41,add,10,Obstacle to operating or financial performance.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
headwinds,headwind,,-1.41,add,78,Obstacle to operating or financial performance.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
impairment,impairment,,-2.05,add,18,Recognised reduction in an asset's carrying value.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
insolvency,insolvency,,-3.3899999999999997,add,1,Inability to meet financial obligations.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
miss,miss,-0.6,-2.05,override,609,Earnings or revenue below an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
missed,miss,-1.2,-2.05,override,83,Earnings or revenue below an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
misses,miss,-0.9,-2.05,override,272,Earnings or revenue below an announced benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outage,outage,,-1.95,add,36,Operational or service disruption.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outages,outage,,-1.95,add,21,Operational or service disruption.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outperform,outperform,,2.04,add,434,Expected or realised performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outperformed,outperform,,2.04,add,21,Expected or realised performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outperforming,outperforming,,1.9,add,79,Performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
outperforms,outperform,,2.04,add,38,Expected or realised performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
overvalued,overvalued,,-1.65,add,51,Valuation viewed as too high.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
rebound,rebound,,1.67,add,682,"Recovery in price, activity, or results.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
rebounded,rebound,,1.67,add,9,"Recovery in price, activity, or results.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
rebounding,rebound,,1.67,add,58,"Recovery in price, activity, or results.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
rebounds,rebound,,1.67,add,91,"Recovery in price, activity, or results.",unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
recall,recall,,-1.3900000000000001,add,11,Product withdrawal for quality or safety reasons.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
recalled,recall,,-1.3900000000000001,add,8,Product withdrawal for quality or safety reasons.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
recalling,recall,,-1.3900000000000001,add,0,Product withdrawal for quality or safety reasons.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
recalls,recall,,-1.3900000000000001,add,25,Product withdrawal for quality or safety reasons.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
rout,rout,,-2.29,add,114,Severe market or security decline.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
sell-off,selloff,,-2.2,add,301,Broad or security-level selling decline.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
sell-offs,selloff,,-2.2,add,4,Broad or security-level selling decline.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
selloff,selloff,,-2.2,add,201,Broad or security-level selling decline.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
selloffs,selloff,,-2.2,add,6,Broad or security-level selling decline.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slowdown,slowdown,,-1.54,add,155,Adverse deceleration in activity or growth.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slowdowns,slowdown,,-1.54,add,0,Adverse deceleration in activity or growth.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slump,slump,,-1.9899999999999998,add,203,Adverse decline or weak activity.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slumped,slump,,-1.9899999999999998,add,44,Adverse decline or weak activity.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slumping,slump,,-1.9899999999999998,add,14,Adverse decline or weak activity.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
slumps,slump,,-1.9899999999999998,add,76,Adverse decline or weak activity.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
surpass,surpass,,1.9100000000000001,add,217,Results or performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
surpassed,surpass,,1.9100000000000001,add,5,Results or performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
surpasses,surpass,,1.9100000000000001,add,84,Results or performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
surpassing,surpass,,1.9100000000000001,add,7,Results or performance above a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
underperform,underperform,,-2.05,add,50,Expected or realised performance below a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
underperformed,underperform,,-2.05,add,15,Expected or realised performance below a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
underperforms,underperform,,-2.05,add,9,Expected or realised performance below a benchmark.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
upgrade,upgrade,,2.2199999999999998,add,243,Upward analyst or issuer assessment.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
upgraded,upgrade,,2.2199999999999998,add,56,Upward analyst or issuer assessment.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
upgrades,upgrade,,2.2199999999999998,add,359,Upward analyst or issuer assessment.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
upside,upside,,1.7600000000000002,add,722,Favourable valuation or return potential.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
upsides,upside,,1.7600000000000002,add,1,Favourable valuation or return potential.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
writedown,writedown,,-2.21,add,20,Recognised reduction in an asset's carrying value.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
writedowns,writedown,,-2.21,add,1,Recognised reduction in an asset's carrying value.,unweighted arithmetic mean of 10 blind sub-agent reviews; approved by student review,10,"VADER lexical valence, approximately -4 to +4",student reviewed and approved
