case_id,validation_set,canonical_family,headline_date,aligned_trading_date,ticker,sector,title,plain_compound,finance_compound,finance_score_change,plain_label,finance_label,ai_expected_direction,student_expected_direction,student_review_status,student_rationale
case_020,initial_balanced_sector_cases,,22/10/2020,22/10/2020,D,Utilities,5 Value Stocks To Buy Now Beating The S&P 500 In 2020,-0.1531,0.6662,0.8193,negative,positive,positive,positive,agree,
case_021,expansion_family_cases,rebound,29/01/2020,29/01/2020,SBUX,Consumer,PreMarket Prep Recap: Apple Q1 Beat Aids Rebound From Monday's Low,-0.2732,0.5618,0.835,negative,positive,positive,positive,agree,
case_022,expansion_family_cases,rebound,4/02/2022,4/02/2022,XOM,Energy,Magellan (MMP) Q4 Earnings Beat Estimates as Demand Rebounds,-0.128,0.6405,0.7685,negative,positive,positive,positive,agree,
case_023,expansion_family_cases,surpass,22/10/2020,22/10/2020,T,Comm,"AT&T takes pandemic hit, but surpasses revenue expectations",0,0.5947,0.5947,neutral,positive,positive,positive,agree,
case_024,expansion_family_cases,surpass,3/08/2022,3/08/2022,AEP,Utilities,"Exelon (EXC) Q2 Earnings Lag Estimates, Revenues Surpass",-0.34,0.1306,0.4706,negative,positive,positive,positive,agree,
case_025,expansion_family_cases,upside,24/03/2021,24/03/2021,ADBE,Tech,Adobe Lifts FY21 Outlook After 1Q Beat; Street Sees 22% Upside,0,0.7022,0.7022,neutral,positive,positive,positive,agree,
case_026,expansion_family_cases,upside,18/04/2023,18/04/2023,WFC,Financials,"Bank of America Beats Earnings, Renews Investor Upside Potential",0,0.7022,0.7022,neutral,positive,positive,positive,agree,
case_027,expansion_family_cases,blowout,29/07/2022,29/07/2022,CVX,Energy,"U.S. oil giants Exxon, Chevron post blowout earnings, ramp up buybacks",0,0.6564,0.6564,neutral,positive,positive,positive,agree,
case_028,expansion_family_cases,blowout,29/07/2022,29/07/2022,XOM,Energy,"U.S. oil giants Exxon, Chevron post blowout earnings, ramp up buybacks",0,0.6564,0.6564,neutral,positive,positive,positive,agree,
case_029,expansion_family_cases,outperforming,4/02/2020,4/02/2020,WMT,Consumer,"After This Last Earnings Beat, Amazon Stock Will Keep Outperforming",0.1779,0.7691,0.5912,positive,positive,positive,positive,agree,
case_030,expansion_family_cases,outperforming,20/01/2023,20/01/2023,WFC,Financials,"Wells Fargo's Deposit Base Is Rising, But Continues Outperforming Peers",0.128,0.6542,0.5262,positive,positive,positive,positive,agree,
case_031,expansion_family_cases,slump,19/07/2023,19/07/2023,GS,Financials,"Goldman's second-quarter profit falls on GreenSky writedown, dealmaking slump",0.4404,-0.5106,-0.951,positive,negative,negative,negative,agree,
case_032,expansion_family_cases,slump,19/07/2023,19/07/2023,MS,Financials,"Goldman's second-quarter profit falls on GreenSky writedown, dealmaking slump",0.4404,-0.5106,-0.951,positive,negative,negative,negative,agree,
case_033,expansion_family_cases,selloff,8/08/2023,8/08/2023,GS,Financials,US STOCKS-Wall St falls as Moody's bank downgrades spark broad sell-off,0.2263,-0.6808,-0.9071,positive,negative,negative,negative,agree,
case_034,expansion_family_cases,selloff,8/08/2023,8/08/2023,USB,Financials,US STOCKS-Wall St falls as Moody's bank downgrades spark broad sell-off,0.2263,-0.6808,-0.9071,positive,negative,negative,negative,agree,
case_035,expansion_family_cases,rout,13/03/2023,13/03/2023,GS,Financials,Hedge funds stand to lap up bearish profits from bank stock rout,0.4404,-0.5789,-1.0193,positive,negative,negative,negative,agree,
case_036,expansion_family_cases,rout,11/11/2021,11/11/2021,CAT,Industrials,"U.S. stock futures rise after inflation-driven rout, Disney shares tumble",0.296,-0.2709,-0.5669,positive,negative,negative,negative,agree,
case_037,expansion_family_cases,headwind,27/04/2020,27/04/2020,CAT,Industrials,"UPDATE: Morgan Stanley Downgrades Caterpillar And United Rentals As Firm Sees 'growing headwinds from a multi-year downturn in Non-Resi Construction, combined with historically weak oil prices and declining mining commodity price'",0.1531,-0.7918,-0.9449,positive,negative,negative,negative,agree,
case_038,expansion_family_cases,headwind,23/02/2021,23/02/2021,WFC,Financials,"Despite Interest Rate Headwinds, HSBC Stock Is Likely To Beat Consensus In Q4",-0.357,0.3866,0.7436,negative,positive,positive,positive,agree,
case_039,expansion_family_cases,slowdown,31/01/2020,31/01/2020,MS,Financials,"Shares of several financial services companies are trading lower as the coronavirus spread continues to cause concerns of economic slowdown after China confirmed over 9,000 confirmed cases. NOTE: The coronavirus outbreak has caused selloffs in global markets.",0,-0.6946,-0.6946,neutral,negative,negative,negative,agree,
case_040,expansion_family_cases,slowdown,15/01/2020,15/01/2020,SLB,Energy,Schlumberger Earnings Preview: Schlumberger Likely To Beat 2019 Earnings Expectations Despite Shale Slowdown,0,0.6369,0.6369,neutral,positive,positive,positive,agree,
case_041,expansion_family_cases,overvalued,21/06/2023,21/06/2023,DIS,Consumer,Get Out Now! 7 Extremely Overvalued Stocks Set to Spiral Downward,0,-0.4998,-0.4998,neutral,negative,negative,negative,agree,
case_042,expansion_family_cases,overvalued,21/06/2023,21/06/2023,OXY,Energy,Get Out Now! 7 Extremely Overvalued Stocks Set to Spiral Downward,0,-0.4998,-0.4998,neutral,negative,negative,negative,agree,
case_043,expansion_family_cases,downturn,27/04/2020,27/04/2020,CAT,Industrials,"UPDATE: Morgan Stanley Downgrades Caterpillar And United Rentals As Firm Sees 'growing headwinds from a multi-year downturn in Non-Resi Construction, combined with historically weak oil prices and declining mining commodity price'",0.1531,-0.7918,-0.9449,positive,negative,negative,negative,agree,
case_044,expansion_family_cases,downturn,13/03/2020,13/03/2020,AMD,Tech,Advanced Micro Devices Stock Will Survive the Downturn,0.25,-0.2287,-0.4787,positive,negative,negative,positive,override,
case_045,expansion_family_cases,contraction,18/05/2020,18/05/2020,GS,Financials,India to see annualised contraction of 45% in April to June - Goldman,0,-0.3695,-0.3695,neutral,negative,negative,negative,agree,
case_046,expansion_family_cases,contraction,18/04/2022,18/04/2022,T,Comm,Will Top-Line Contraction Affect AT&T's (T) Q1 Earnings?,0,-0.3695,-0.3695,neutral,negative,negative,negative,agree,
case_047,expansion_family_cases,antitrust,16/01/2023,17/01/2023,XOM,Energy,"Italy's Antitrust raids Eni, Exxon Mobil's Esso, others over fuel price breaches",0,-0.6249,-0.6249,neutral,negative,negative,negative,agree,
case_048,expansion_family_cases,antitrust,9/05/2022,9/05/2022,T,Comm,"Canada's Rogers, Shaw slump on antitrust hurdle to $16 bln deal",0,-0.6187,-0.6187,neutral,negative,negative,negative,agree,
case_049,expansion_family_cases,recall,25/10/2021,25/10/2021,WMT,Consumer,Walmart Recalls Certain Room Spray Following Two Deaths,0.2732,-0.0747,-0.3479,positive,negative,negative,negative,agree,
case_050,expansion_family_cases,recall,17/02/2022,17/02/2022,ABT,Healthcare,Abbott recalls certain Similac baby formula made at Michigan facility,0.2732,-0.0747,-0.3479,positive,negative,negative,negative,agree,
case_051,expansion_family_cases,breach,14/02/2022,14/02/2022,NKE,Consumer,"Britain fines JD Sports, Footasylum as CEO meetings breach order",0,-0.7041,-0.7041,neutral,negative,negative,negative,agree,
case_052,expansion_family_cases,breach,16/01/2023,17/01/2023,XOM,Energy,"Italy's Antitrust raids Eni, Exxon Mobil's Esso, others over fuel price breaches",0,-0.6249,-0.6249,neutral,negative,negative,negative,agree,
case_053,expansion_family_cases,outage,11/01/2023,11/01/2023,WFC,Financials,"FAA Outage Creates Cancellations, Delays",0.2732,-0.2144,-0.4876,positive,negative,negative,negative,agree,
case_054,expansion_family_cases,outage,14/04/2021,14/04/2021,QCOM,Tech,TSMC says power restored at Taiwan plant after outage,0.34,-0.1406,-0.4806,positive,negative,negative,negative,agree,
case_055,expansion_family_cases,fine_penalty,27/02/2020,27/02/2020,TMUS,Comm,"Federal Communications Commission Set To Proposed Fines For Four US Carriers That Could Top $200M In Total Over Alleged Unauthorized Sale Of Real-Time Location Data From Users; Proposed Fines On AT&T, T-Mobile, Verizon And Sprint",0.2023,-0.5859,-0.7882,positive,negative,negative,negative,agree,
case_056,expansion_family_cases,fine_penalty,14/02/2022,14/02/2022,NKE,Consumer,"Britain fines JD Sports, Footasylum as CEO meetings breach order",0,-0.7041,-0.7041,neutral,negative,negative,negative,agree,
case_057,expansion_family_cases,delist,1/12/2020,1/12/2020,MS,Financials,"Delisting renewables company PNE would have a price, says top investor",0.2023,-0.3716,-0.5739,positive,negative,negative,negative,agree,
case_058,expansion_family_cases,delist,19/05/2020,19/05/2020,SBUX,Consumer,Nasdaq informs China's Luckin Coffee it plans to delist it,0,-0.5187,-0.5187,neutral,negative,negative,negative,agree,
